ID de la réponse;Date de soumission;Dernière page;Vous répondez en tant que :;Vous êtes ?  ;Vous avez ?;Quelle est votre catégorie socio-professionnelle ?;Où résidez-vous ?;Votre organisation est :;Votre organisation est : [Autre];Nom de votre organisation :;Adresse électronique de lorganisation ou de la personne responsable :;Pensez-vous que le dispositif actuel de répression de la consommation de cannabis permet den limiter lampleur ?;Vous pouvez préciser votre réponse.;Pensez-vous que le dispositif actuel permet de lutter efficacement contre les trafics ?;Vous pouvez préciser votre réponse..1;Par rapport à la consommation dalcool, selon vous, les risques liés à la consommation de cannabis sont équivalents, plus grave ou moins grave : ;Par rapport à la consommation de tabac, selon vous, les risques liés à la consommation de cannabis sont équivalents, plus grave ou moins grave : ;Parmi les propositions suivantes, à quelle évolution seriez-vous le plus favorable en matière de consommation de cannabis : ;Pour quelles raisons souhaitez-vous un assouplissement de la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 1];Pour quelles raisons souhaitez-vous un assouplissement de la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 2];Pour quelles raisons souhaitez-vous un assouplissement de la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 3];Pour quelles raisons souhaitez-vous un assouplissement de la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 4];Quel(s) autre(s) avantage(s) verriez-vous à lassouplissement de la politique actuelle ?;En cas de légalisation, comment imaginez-vous le commerce du cannabis ?  ;En cas de légalisation, quelles seraient selon vous les priorités budgétaires qui pourraient être financées par les ressources fiscales susceptibles dêtre générées par la vente encadrée de cannabis ?  [Classement 1];En cas de légalisation, quelles seraient selon vous les priorités budgétaires qui pourraient être financées par les ressources fiscales susceptibles dêtre générées par la vente encadrée de cannabis ?  [Classement 2];En cas de légalisation, quelles seraient selon vous les priorités budgétaires qui pourraient être financées par les ressources fiscales susceptibles dêtre générées par la vente encadrée de cannabis ?  [Classement 3];En cas de légalisation, quelles seraient selon vous les priorités budgétaires qui pourraient être financées par les ressources fiscales susceptibles dêtre générées par la vente encadrée de cannabis ?  [Classement 4];En cas de légalisation, quelles seraient selon vous les priorités budgétaires qui pourraient être financées par les ressources fiscales susceptibles dêtre générées par la vente encadrée de cannabis ?  [Classement 5];Selon vous y aurait-il une ou plusieurs autres priorités budgétaires ?;En cas de légalisation ou de dépénalisation, seriez-vous favorable à la possibilité pour les particuliers de cultiver à des fins personnelles un nombre de pieds de cannabis fixé par la loi, comme cest le cas au Canada depuis 2018 ? ;Pour quelle(s) raison(s) ?;Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 1];Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 2];Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 3];Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 4];Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 5];Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 6];Pour quelles raisons souhaitez-vous renforcer ou maintenir la politique actuelle en matière de répression et de prévention de lusage du cannabis ?  [Classement 7];Y a-t-il une ou des raisons supplémentaires pour lesquelles vous vous opposez à sa dépénalisation ou sa légalisation ?;Vous consommez du cannabis :;Vous pouvez déposer ici une contribution écrite. ;texte_lemmatise
1;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;30 à 39 ans;Employés;Métropole:Bas-Rhin;;;;;Non;Le marché noir et l'auto production a petite échelle (1 ou 2 plants par foyer) n'est quasiment pas détectable et de si grande ampleur qu'elle est rentrée dans les murs;Non;Les gros dealeurs se font de plus en plus rare au profit d'une autoproduction.;Moins graves que ceux liés à la consommation dalcool;Équivalents à ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra de concentrer les moyens sur la prévention, en particulier pour éviter la consommation de cannabis par les  de 25 ans;Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Cela permettra aux forces de lordre de se consacrer à dautres missions;Cela permettra de dégager des recettes fiscales;La fin d'une hypocrisie française reconnue a travers le monde. ( 1ers consommateurs en Europe et une des politiques les plus répressive du continent). Soyons logique dans le pays des libertés et des droits de l'homme.;En vente régulée sur le modèle de lalcool;La lutte contre les addictions;La prévention en matière de consommation de cannabis, en particulier des mineurs;La réduction de la dette;La baisse des impôts;Le renforcement des politiques de la ville;"Remboursement du ""trou"" de la sécurité sociale.";Oui;"Dans une démarche locavore, tout comme les jardins maraîchers que les français adoptent massivement, 
Considérons cette plante pour ce qu'elle est, une plante au même titre qu'un pied de menthe qu'on cultiverais sur un balcon. Mais avec une  regleme et un cadre légal.";;;;;;;;;Régulièrement;;marché noir auto production petit échelle 1 2 plant foyer quasiment détectable grand ampleur rentrer mur
2;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;40 à 49 ans;Employés;Métropole:Drôme;;;;;Non;;Non;;Moins graves que ceux liés à la consommation dalcool;Équivalents à ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra aux forces de lordre de se consacrer à dautres missions;Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Cela permettra de dégager des recettes fiscales;;;En vente régulée sur le modèle de lalcool;La réduction de la dette;La lutte contre les addictions;;;;;Oui;;;;;;;;;;Régulièrement;;
0;13/01/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures;Métropole:Hérault;;;;;Non;les chiffres parlent d'eux même : la france est un des plus gros consommateur européen;Non;cf suppra;Moins graves que ceux liés à la consommation dalcool;Équivalents à ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Cela permettra de dégager des recettes fiscales;Cela permettra aux forces de lordre de se consacrer à dautres missions;;;En vente dans les bureaux de tabac;La prévention en matière de consommation de cannabis, en particulier des mineurs;La réduction de la dette;;;;;Oui;;;;;;;;;;Occasionnellement;;chiffre france gros consommateur européen
5;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;40 à 49 ans;Employés;Métropole:Loiret;;;;;Non;;Non;;Moins graves que ceux liés à la consommation dalcool;Équivalents à ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Cela permettra de dégager des recettes fiscales;Cela permettra aux forces de lordre de se consacrer à dautres missions;Cela permettra de concentrer les moyens sur la prévention, en particulier pour éviter la consommation de cannabis par les  de 25 ans;Désengorger les tribunaux;En vente dans des boutiques spécialisées;Le renforcement des politiques de la ville;La baisse des impôts;La réduction de la dette;La prévention en matière de consommation de cannabis, en particulier des mineurs;La lutte contre les addictions;;Oui;;;;;;;;;;Occasionnellement;;
6;13/01/2021;3.0;Individuellement en tant que personne physique;Un homme;18 à 29 ans;Cadres et professions intellectuelles supérieures;Métropole:Meurthe-et-Moselle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;40 à 49 ans;Professions intermédiaires;Métropole:Sarthe;;;;;Non;La répression ne réduit en rien la consommation bien au contraire je pense que l'interdit donne plus facilement l'envie de franchir la barrière;Non;Pour lutter efficacement contre le traffic le seul moyen est de le réguler comme le tabac ou l'alcool;Équivalents à ceux liés à la consommation dalcool;Moins graves que ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra aux forces de lordre de se consacrer à dautres missions;Cela permettra de dégager des recettes fiscales;Cela permettra de concentrer les moyens sur la prévention, en particulier pour éviter la consommation de cannabis par les  de 25 ans;Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Avoir un contrôle sur la qualité des produits consommés;En vente dans des boutiques spécialisées;La réduction de la dette;La prévention en matière de consommation de cannabis, en particulier des mineurs;Le renforcement des politiques de la ville;La lutte contre les addictions;La baisse des impôts;Hôpitaux, écoles, formation des agents de la fonction publique;Oui;Je suis favorable à l'autoproduction (tout comme un potager) pour ceux qui veulent être sur d'avoir un produit naturel a consommer;;;;;;;;;Régulièrement;;répression réduire rien consommation bien contraire interdire donne facilement envie franchir barrière
8;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;50 à 64 ans;Cadres et professions intellectuelles supérieures;Métropole:Puy-de-Dôme;;;;;Non;Toutes les politiques n'ont jamais abouti à faire baisser le trafic au contraire même elles ont favorise son développement et l'insécurité et la violence ds les quartiers;Non;La prohibition débouche sur le trafic.... Cf usa ds les années 30;Moins graves que ceux liés à la consommation dalcool;Équivalents à ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra aux forces de lordre de se consacrer à dautres missions;Cela permettra de concentrer les moyens sur la prévention, en particulier pour éviter la consommation de cannabis par les  de 25 ans;Cela permettra de dégager des recettes fiscales;Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Développement d'une filière française contrôlée par l'état dans les territoires ruraux et dom Tom;En vente dans les bureaux de tabac;La prévention en matière de consommation de cannabis, en particulier des mineurs;Le renforcement des politiques de la ville;La lutte contre les addictions;La baisse des impôts;La réduction de la dette;?;Oui;Assèche le trafic contrôle de la qualité;;;;;;;;;Occasionnellement;;politique jamais aboutir faire baisser trafic contraire favoriser développement insécurité violence ds quartier
9;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;65 à 74 ans;Retraités;Métropole:Yvelines;;;;;Non;Nécessité de contrôles plus nombreux et répression plus importante sur les réseaux organisateurs;Non;;Équivalents à ceux liés à la consommation dalcool;Équivalents à ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Cela permettra aux forces de lordre de se consacrer à dautres missions;;;;En vente dans des boutiques spécialisées;La prévention en matière de consommation de cannabis, en particulier des mineurs;La lutte contre les addictions;;;;;Non;Compte tenu du produit, il me semble nécessaire que cela reste encadré;;;;;;;;;Je ne souhaite pas répondre à cette question;;nécessité contrôle répression important réseau organisateur
10;13/01/2021;8.0;Individuellement en tant que personne physique;Un homme;40 à 49 ans;Cadres et professions intellectuelles supérieures;Métropole:Haut-Rhin;;;;;Non;;Non;En plus de ne pas lutter efficacement contre les trafics,  les trafics financent des organisations terroristes qui considèrent la France comme un pays ennemi. La France, à juste titre, considère ces organisations comme ses ennemis.;Moins graves que ceux liés à la consommation dalcool;Moins graves que ceux liés à la consommation de tabac;À une autorisation de la consommation et de la production dans un cadre établi par la loi (légalisation);Cela permettra de lutter contre le trafic de cannabis, en « asséchant » le marché illégal;Cela permettra de concentrer les moyens sur la prévention, en particulier pour éviter la consommation de cannabis par les  de 25 ans;Cela permettra de dégager des recettes fiscales;Cela permettra aux forces de lordre de se consacrer à dautres missions;Arrêt du financement d'organisations terroristes ennemis de la France.;En vente régulée sur le modèle de lalcool;La lutte contre les addictions;La baisse des impôts;La réduction de la dette;La prévention en matière de consommation de cannabis, en particulier des mineurs;Le renforcement des politiques de la ville;Réduction de la dette de l'assurance maladie, augmentation du budget allouer à la santé et aux hopitaux.;Oui;"Contrôle de la qualité du produit et donc son amélioration.
Réduction de sa toxicité.";;;;;;;;;Jamais;;
